Order_ID,Order_Date,Ship_Date,Ship_Mode,Segment,Region,Category,Sub_Category,Sales,Quantity,Discount,Profit,Order_Year,Order_Month,Order_Quarter,Shipping_Days,Profit_Margin,Revenue_per_Unit,Discount_Tier,Category_Enc,Segment_Enc,Region_Enc,Ship_Mode_Enc
CA-2021-801944,2019-01-04 15:39:40.906634644,2019-01-05 15:39:40.906634644,Second Class,Consumer,West,Furniture,Chairs,23.21,8,0.1,5.84,2019,1,1,1,0.2516,2.9,Low,0,0,3,2
CA-2020-639999,2019-01-04 19:10:04.142900030,2019-01-06 19:10:04.142900030,First Class,Corporate,South,Furniture,Bookcases,297.83,8,0.2,55.13,2019,1,1,2,0.1851,37.23,Low,0,1,2,0
CA-2020-934420,2019-01-04 22:40:27.379165415,2019-01-11 22:40:27.379165415,Second Class,Consumer,East,Technology,Copiers,52.24,13,0.1,15.24,2019,1,1,7,0.2917,4.02,Low,2,0,1,2
CA-2020-577088,2019-01-05 02:10:50.615430801,2019-01-12 02:10:50.615430801,Same Day,Corporate,Central,Technology,Accessories,1089.47,12,0.0,268.9,2019,1,1,7,0.2468,90.79,No Discount,2,1,0,1
CA-2019-345922,2019-01-05 05:41:13.851696187,2019-01-12 05:41:13.851696187,Standard Class,Corporate,West,Technology,Phones,569.62,12,0.2,66.13,2019,1,1,7,0.1161,47.47,Low,2,1,3,3
CA-2020-345982,2019-01-05 09:11:37.087961573,2019-01-11 09:11:37.087961573,First Class,Corporate,South,Office Supplies,Paper,15.14,1,0.0,2.1,2019,1,1,6,0.1387,15.14,No Discount,1,1,2,0
CA-2020-870232,2019-01-05 12:42:00.324226958,2019-01-10 12:42:00.324226958,Same Day,Corporate,South,Technology,Copiers,12.58,4,0.4,-1.6,2019,1,1,5,-0.1272,3.14,Medium,2,1,2,1
CA-2021-546240,2019-01-05 16:12:23.560492344,2019-01-09 16:12:23.560492344,Standard Class,Home Office,Central,Office Supplies,Binders,10.0,12,0.0,2.35,2019,1,1,4,0.235,0.83,No Discount,1,2,0,3
CA-2022-865236,2019-01-05 19:42:46.796757730,2019-01-10 19:42:46.796757730,Second Class,Home Office,East,Office Supplies,Binders,56.64,10,0.1,8.29,2019,1,1,5,0.1464,5.66,Low,1,2,1,2
CA-2022-242483,2019-01-05 23:13:10.033023116,2019-01-12 23:13:10.033023116,First Class,Consumer,East,Technology,Machines,795.4,8,0.0,220.9,2019,1,1,7,0.2777,99.42,No Discount,2,0,1,0
CA-2021-320338,2019-01-06 02:43:33.269288501,2019-01-08 02:43:33.269288501,Second Class,Home Office,South,Office Supplies,Binders,10.3,9,0.3,0.24,2019,1,1,2,0.0233,1.14,Medium,1,2,2,2
CA-2020-196909,2019-01-06 06:13:56.505553887,2019-01-11 06:13:56.505553887,Standard Class,Corporate,West,Technology,Machines,150.07,9,0.5,14.36,2019,1,1,5,0.0957,16.67,High,2,1,3,3
CA-2021-193805,2019-01-06 09:44:19.741819273,2019-01-12 09:44:19.741819273,First Class,Home Office,East,Technology,Accessories,237.84,2,0.0,40.26,2019,1,1,6,0.1693,118.92,No Discount,2,2,1,0
CA-2019-222156,2019-01-06 13:14:42.978084659,2019-01-10 13:14:42.978084659,Same Day,Corporate,Central,Furniture,Chairs,98.4,9,0.0,14.75,2019,1,1,4,0.1499,10.93,No Discount,0,1,0,1
CA-2019-657116,2019-01-06 16:45:06.214350045,2019-01-13 16:45:06.214350045,Second Class,Home Office,South,Technology,Machines,297.89,8,0.0,92.73,2019,1,1,7,0.3113,37.24,No Discount,2,2,2,2
CA-2019-532199,2019-01-06 20:15:29.450615430,2019-01-08 20:15:29.450615430,Same Day,Consumer,West,Furniture,Bookcases,328.04,11,0.2,22.52,2019,1,1,2,0.0687,29.82,Low,0,0,3,1
CA-2019-944257,2019-01-06 23:45:52.686880816,2019-01-09 23:45:52.686880816,Same Day,Consumer,Central,Technology,Copiers,692.99,14,0.0,215.71,2019,1,1,3,0.3113,49.5,No Discount,2,0,0,1
CA-2021-760685,2019-01-07 03:16:15.923146202,2019-01-09 03:16:15.923146202,Same Day,Corporate,West,Technology,Machines,1990.81,11,0.1,16.34,2019,1,1,2,0.0082,180.98,Low,2,1,3,1
CA-2020-129582,2019-01-07 06:46:39.159411588,2019-01-13 06:46:39.159411588,First Class,Corporate,West,Furniture,Furnishings,1068.55,13,0.0,275.45,2019,1,1,6,0.2578,82.2,No Discount,0,1,3,0
CA-2020-761361,2019-01-07 10:17:02.395676973,2019-01-11 10:17:02.395676973,Second Class,Home Office,South,Furniture,Bookcases,337.71,14,0.2,-9.61,2019,1,1,4,-0.0285,24.12,Low,0,2,2,2
CA-2022-165115,2019-01-07 13:47:25.631942359,2019-01-08 13:47:25.631942359,Same Day,Home Office,West,Technology,Phones,794.89,9,0.1,35.35,2019,1,1,1,0.0445,88.32,Low,2,2,3,1
CA-2022-230182,2019-01-07 17:17:48.868207745,2019-01-12 17:17:48.868207745,Standard Class,Corporate,East,Office Supplies,Binders,241.07,9,0.2,38.58,2019,1,1,5,0.16,26.79,Low,1,1,1,3
CA-2020-927208,2019-01-07 20:48:12.104473131,2019-01-13 20:48:12.104473131,First Class,Consumer,East,Furniture,Tables,34.87,3,0.2,1.29,2019,1,1,6,0.037,11.62,Low,0,0,1,0
CA-2021-504003,2019-01-08 00:18:35.340738517,2019-01-09 00:18:35.340738517,Same Day,Consumer,West,Office Supplies,Paper,10.0,5,0.0,1.13,2019,1,1,1,0.113,2.0,No Discount,1,0,3,1
CA-2022-991286,2019-01-08 03:48:58.577003902,2019-01-15 03:48:58.577003902,Same Day,Corporate,South,Office Supplies,Paper,10.0,13,0.1,2.4,2019,1,1,7,0.24,0.77,Low,1,1,2,1
CA-2021-387209,2019-01-08 07:19:21.813269288,2019-01-11 07:19:21.813269288,Second Class,Consumer,South,Office Supplies,Storage,66.29,11,0.2,15.5,2019,1,1,3,0.2338,6.03,Low,1,0,2,2
CA-2021-723488,2019-01-08 10:49:45.049534674,2019-01-09 10:49:45.049534674,Same Day,Corporate,West,Furniture,Chairs,575.6,3,0.1,40.13,2019,1,1,1,0.0697,191.87,Low,0,1,3,1
CA-2019-339910,2019-01-08 14:20:08.285800060,2019-01-13 14:20:08.285800060,Same Day,Home Office,East,Office Supplies,Labels,36.59,6,0.0,5.31,2019,1,1,5,0.1451,6.1,No Discount,1,2,1,1
CA-2019-868581,2019-01-08 17:50:31.522065445,2019-01-09 17:50:31.522065445,Same Day,Consumer,East,Furniture,Bookcases,315.19,10,0.2,51.76,2019,1,1,1,0.1642,31.52,Low,0,0,1,1
CA-2021-711208,2019-01-08 21:20:54.758330831,2019-01-10 21:20:54.758330831,Second Class,Consumer,South,Office Supplies,Art,58.11,13,0.5,2.59,2019,1,1,2,0.0446,4.47,High,1,0,2,2
CA-2022-599729,2019-01-09 00:51:17.994596217,2019-01-13 00:51:17.994596217,Same Day,Corporate,South,Technology,Phones,59.74,5,0.5,5.96,2019,1,1,4,0.0998,11.95,High,2,1,2,1
CA-2021-836826,2019-01-09 04:21:41.230861603,2019-01-15 04:21:41.230861603,Standard Class,Home Office,Central,Technology,Phones,232.8,2,0.2,7.45,2019,1,1,6,0.032,116.4,Low,2,2,0,3
CA-2021-303487,2019-01-09 07:52:04.467126988,2019-01-16 07:52:04.467126988,First Class,Consumer,Central,Furniture,Tables,10.0,3,0.1,1.67,2019,1,1,7,0.167,3.33,Low,0,0,0,0
CA-2019-547106,2019-01-09 11:22:27.703392374,2019-01-15 11:22:27.703392374,Same Day,Consumer,West,Technology,Accessories,70.4,7,0.0,6.35,2019,1,1,6,0.0902,10.06,No Discount,2,0,3,1
CA-2019-796861,2019-01-09 14:52:50.939657760,2019-01-10 14:52:50.939657760,Second Class,Home Office,West,Technology,Accessories,1002.34,10,0.0,149.6,2019,1,1,1,0.1493,100.23,No Discount,2,2,3,2
CA-2022-608101,2019-01-09 18:23:14.175923146,2019-01-13 18:23:14.175923146,Standard Class,Home Office,South,Office Supplies,Labels,141.48,10,0.1,1.91,2019,1,1,4,0.0135,14.15,Low,1,2,2,3
CA-2020-301729,2019-01-09 21:53:37.412188532,2019-01-13 21:53:37.412188532,First Class,Corporate,South,Furniture,Chairs,647.69,12,0.0,73.35,2019,1,1,4,0.1132,53.97,No Discount,0,1,2,0
CA-2022-805488,2019-01-10 01:24:00.648453917,2019-01-16 01:24:00.648453917,Second Class,Consumer,Central,Office Supplies,Storage,103.81,5,0.0,20.97,2019,1,1,6,0.202,20.76,No Discount,1,0,0,2
CA-2019-802436,2019-01-10 04:54:23.884719303,2019-01-14 04:54:23.884719303,Second Class,Consumer,West,Office Supplies,Binders,126.12,3,0.3,-6.42,2019,1,1,4,-0.0509,42.04,Medium,1,0,3,2
CA-2019-311720,2019-01-10 08:24:47.120984689,2019-01-12 08:24:47.120984689,First Class,Home Office,Central,Office Supplies,Paper,88.93,4,0.5,5.94,2019,1,1,2,0.0668,22.23,High,1,2,0,0
CA-2022-543629,2019-01-10 11:55:10.357250075,2019-01-14 11:55:10.357250075,First Class,Home Office,Central,Office Supplies,Art,88.65,6,0.4,5.59,2019,1,1,4,0.0631,14.78,Medium,1,2,0,0
CA-2022-885846,2019-01-10 15:25:33.593515460,2019-01-16 15:25:33.593515460,Second Class,Consumer,Central,Office Supplies,Art,88.06,8,0.0,5.14,2019,1,1,6,0.0584,11.01,No Discount,1,0,0,2
CA-2019-680997,2019-01-10 18:55:56.829780846,2019-01-11 18:55:56.829780846,Standard Class,Home Office,East,Office Supplies,Binders,57.73,12,0.4,6.52,2019,1,1,1,0.1129,4.81,Medium,1,2,1,3
CA-2020-537576,2019-01-10 22:26:20.066046232,2019-01-16 22:26:20.066046232,Standard Class,Corporate,West,Office Supplies,Storage,36.12,7,0.0,12.4,2019,1,1,6,0.3433,5.16,No Discount,1,1,3,3
CA-2020-477072,2019-01-11 01:56:43.302311618,2019-01-15 01:56:43.302311618,Standard Class,Corporate,Central,Furniture,Tables,524.02,12,0.1,78.9,2019,1,1,4,0.1506,43.67,Low,0,1,0,3
CA-2021-842894,2019-01-11 05:27:06.538577003,2019-01-13 05:27:06.538577003,First Class,Home Office,East,Technology,Machines,212.85,3,0.2,9.45,2019,1,1,2,0.0444,70.95,Low,2,2,1,0
CA-2020-312941,2019-01-11 08:57:29.774842389,2019-01-17 08:57:29.774842389,Same Day,Consumer,East,Office Supplies,Binders,62.63,2,0.1,4.95,2019,1,1,6,0.079,31.32,Low,1,0,1,1
CA-2022-205532,2019-01-11 12:27:53.011107775,2019-01-15 12:27:53.011107775,Second Class,Home Office,West,Office Supplies,Storage,45.44,3,0.5,-7.9,2019,1,1,4,-0.1739,15.15,High,1,2,3,2
CA-2020-740737,2019-01-11 15:58:16.247373161,2019-01-12 15:58:16.247373161,Standard Class,Consumer,Central,Office Supplies,Storage,25.91,5,0.0,5.12,2019,1,1,1,0.1976,5.18,No Discount,1,0,0,3
CA-2021-769436,2019-01-11 19:28:39.483638547,2019-01-13 19:28:39.483638547,Same Day,Corporate,South,Office Supplies,Storage,294.12,14,0.1,4.42,2019,1,1,2,0.015,21.01,Low,1,1,2,1
CA-2022-320436,2019-01-11 22:59:02.719903932,2019-01-14 22:59:02.719903932,First Class,Corporate,West,Office Supplies,Art,23.95,7,0.0,4.82,2019,1,1,3,0.2013,3.42,No Discount,1,1,3,0
CA-2021-814794,2019-01-12 02:29:25.956169318,2019-01-15 02:29:25.956169318,Second Class,Corporate,Central,Office Supplies,Labels,29.6,14,0.3,-0.72,2019,1,1,3,-0.0243,2.11,Medium,1,1,0,2
CA-2019-395324,2019-01-12 05:59:49.192434704,2019-01-13 05:59:49.192434704,Same Day,Consumer,Central,Technology,Copiers,105.75,8,0.1,15.11,2019,1,1,1,0.1429,13.22,Low,2,0,0,1
CA-2021-998361,2019-01-12 09:30:12.428700090,2019-01-17 09:30:12.428700090,Second Class,Home Office,East,Technology,Accessories,1038.9,6,0.2,78.45,2019,1,1,5,0.0755,173.15,Low,2,2,1,2
CA-2022-312780,2019-01-12 13:00:35.664965475,2019-01-16 13:00:35.664965475,First Class,Consumer,Central,Office Supplies,Storage,70.67,13,0.2,2.94,2019,1,1,4,0.0416,5.44,Low,1,0,0,0
CA-2022-111400,2019-01-12 16:30:58.901230861,2019-01-18 16:30:58.901230861,First Class,Consumer,East,Technology,Machines,569.66,2,0.2,48.19,2019,1,1,6,0.0846,284.83,Low,2,0,1,0
CA-2019-892001,2019-01-12 20:01:22.137496247,2019-01-17 20:01:22.137496247,Standard Class,Corporate,Central,Furniture,Chairs,687.17,11,0.1,97.72,2019,1,1,5,0.1422,62.47,Low,0,1,0,3
CA-2020-286020,2019-01-12 23:31:45.373761633,2019-01-14 23:31:45.373761633,Second Class,Home Office,South,Office Supplies,Labels,33.6,2,0.0,10.08,2019,1,1,2,0.3,16.8,No Discount,1,2,2,2
CA-2021-714564,2019-01-13 03:02:08.610027018,2019-01-17 03:02:08.610027018,Second Class,Consumer,West,Furniture,Chairs,86.09,10,0.2,12.89,2019,1,1,4,0.1497,8.61,Low,0,0,3,2
CA-2019-180173,2019-01-13 06:32:31.846292404,2019-01-19 06:32:31.846292404,Same Day,Home Office,Central,Furniture,Furnishings,88.46,11,0.5,-6.2,2019,1,1,6,-0.0701,8.04,High,0,2,0,1
CA-2020-149147,2019-01-13 10:02:55.082557790,2019-01-19 10:02:55.082557790,Second Class,Consumer,East,Office Supplies,Binders,105.53,5,0.3,18.11,2019,1,1,6,0.1716,21.11,Medium,1,0,1,2
CA-2022-256798,2019-01-13 13:33:18.318823176,2019-01-19 13:33:18.318823176,Second Class,Consumer,East,Technology,Phones,571.33,11,0.0,158.1,2019,1,1,6,0.2767,51.94,No Discount,2,0,1,2
CA-2022-762151,2019-01-13 17:03:41.555088562,2019-01-18 17:03:41.555088562,Same Day,Corporate,East,Furniture,Bookcases,92.44,14,0.0,6.72,2019,1,1,5,0.0727,6.6,No Discount,0,1,1,1
CA-2022-954522,2019-01-13 20:34:04.791353947,2019-01-20 20:34:04.791353947,Standard Class,Corporate,East,Office Supplies,Storage,12.54,5,0.1,0.58,2019,1,1,7,0.0463,2.51,Low,1,1,1,3
CA-2019-501484,2019-01-14 00:04:28.027619333,2019-01-15 00:04:28.027619333,Second Class,Corporate,East,Furniture,Chairs,51.45,1,0.2,-1.31,2019,1,1,1,-0.0255,51.45,Low,0,1,1,2
CA-2021-734947,2019-01-14 03:34:51.263884719,2019-01-16 03:34:51.263884719,Same Day,Home Office,East,Furniture,Bookcases,395.33,1,0.0,57.58,2019,1,1,2,0.1457,395.33,No Discount,0,2,1,1
CA-2022-496199,2019-01-14 07:05:14.500150105,2019-01-18 07:05:14.500150105,First Class,Consumer,West,Furniture,Bookcases,10.0,9,0.2,0.81,2019,1,1,4,0.081,1.11,Low,0,0,3,0
CA-2022-765656,2019-01-14 10:35:37.736415490,2019-01-17 10:35:37.736415490,Standard Class,Corporate,Central,Furniture,Bookcases,10.0,14,0.4,0.01,2019,1,1,3,0.001,0.71,Medium,0,1,0,3
CA-2021-612566,2019-01-14 14:06:00.972680876,2019-01-20 14:06:00.972680876,Same Day,Home Office,West,Technology,Copiers,296.14,7,0.1,75.64,2019,1,1,6,0.2554,42.31,Low,2,2,3,1
CA-2021-164105,2019-01-14 17:36:24.208946262,2019-01-20 17:36:24.208946262,Second Class,Home Office,West,Furniture,Bookcases,470.22,8,0.0,26.04,2019,1,1,6,0.0554,58.78,No Discount,0,2,3,2
CA-2021-708597,2019-01-14 21:06:47.445211648,2019-01-18 21:06:47.445211648,Standard Class,Consumer,West,Furniture,Tables,475.03,12,0.4,-10.22,2019,1,1,4,-0.0215,39.59,Medium,0,0,3,3
CA-2021-591339,2019-01-15 00:37:10.681477034,2019-01-21 00:37:10.681477034,Standard Class,Corporate,South,Furniture,Furnishings,224.93,13,0.1,27.73,2019,1,1,6,0.1233,17.3,Low,0,1,2,3
CA-2021-630845,2019-01-15 04:07:33.917742419,2019-01-17 04:07:33.917742419,Standard Class,Corporate,Central,Technology,Copiers,704.79,5,0.1,200.33,2019,1,1,2,0.2842,140.96,Low,2,1,0,3
CA-2022-839241,2019-01-15 07:37:57.154007805,2019-01-18 07:37:57.154007805,First Class,Corporate,West,Furniture,Furnishings,294.5,3,0.0,36.02,2019,1,1,3,0.1223,98.17,No Discount,0,1,3,0
CA-2019-636420,2019-01-15 11:08:20.390273191,2019-01-16 11:08:20.390273191,Same Day,Corporate,East,Furniture,Bookcases,1507.71,13,0.1,55.37,2019,1,1,1,0.0367,115.98,Low,0,1,1,1
CA-2019-590175,2019-01-15 14:38:43.626538577,2019-01-19 14:38:43.626538577,Standard Class,Home Office,Central,Technology,Copiers,106.37,3,0.2,-0.78,2019,1,1,4,-0.0073,35.46,Low,2,2,0,3
CA-2022-982273,2019-01-15 18:09:06.862803962,2019-01-20 18:09:06.862803962,Second Class,Corporate,West,Technology,Accessories,550.78,12,0.1,85.94,2019,1,1,5,0.156,45.9,Low,2,1,3,2
CA-2022-675594,2019-01-15 21:39:30.099069348,2019-01-20 21:39:30.099069348,Second Class,Corporate,West,Technology,Accessories,405.47,3,0.0,67.82,2019,1,1,5,0.1673,135.16,No Discount,2,1,3,2
CA-2020-623246,2019-01-16 01:09:53.335334734,2019-01-23 01:09:53.335334734,Second Class,Home Office,South,Furniture,Furnishings,86.5,1,0.2,15.25,2019,1,1,7,0.1763,86.5,Low,0,2,2,2
CA-2022-213350,2019-01-16 04:40:16.571600120,2019-01-23 04:40:16.571600120,Standard Class,Consumer,Central,Technology,Machines,831.75,11,0.0,122.23,2019,1,1,7,0.147,75.61,No Discount,2,0,0,3
CA-2022-458631,2019-01-16 08:10:39.807865505,2019-01-17 08:10:39.807865505,Second Class,Consumer,Central,Technology,Machines,193.37,11,0.0,17.09,2019,1,1,1,0.0884,17.58,No Discount,2,0,0,2
CA-2021-400272,2019-01-16 11:41:03.044130891,2019-01-23 11:41:03.044130891,Standard Class,Home Office,East,Furniture,Furnishings,192.32,3,0.2,12.71,2019,1,1,7,0.0661,64.11,Low,0,2,1,3
CA-2022-133157,2019-01-16 15:11:26.280396277,2019-01-18 15:11:26.280396277,Same Day,Home Office,East,Technology,Machines,281.84,13,0.3,46.48,2019,1,1,2,0.1649,21.68,Medium,2,2,1,1
CA-2020-522616,2019-01-16 18:41:49.516661663,2019-01-17 18:41:49.516661663,Standard Class,Corporate,Central,Furniture,Tables,111.99,2,0.0,19.22,2019,1,1,1,0.1716,56.0,No Discount,0,1,0,3
CA-2021-274988,2019-01-16 22:12:12.752927049,2019-01-18 22:12:12.752927049,Standard Class,Consumer,East,Office Supplies,Labels,45.07,8,0.0,13.52,2019,1,1,2,0.3,5.63,No Discount,1,0,1,3
CA-2021-111756,2019-01-17 01:42:35.989192434,2019-01-20 01:42:35.989192434,Same Day,Consumer,East,Technology,Machines,384.73,10,0.2,23.64,2019,1,1,3,0.0614,38.47,Low,2,0,1,1
CA-2022-693901,2019-01-17 05:12:59.225457820,2019-01-19 05:12:59.225457820,Second Class,Corporate,West,Office Supplies,Art,109.08,14,0.2,3.75,2019,1,1,2,0.0344,7.79,Low,1,1,3,2
CA-2019-387081,2019-01-17 08:43:22.461723206,2019-01-20 08:43:22.461723206,Standard Class,Corporate,East,Furniture,Furnishings,579.38,10,0.1,134.68,2019,1,1,3,0.2325,57.94,Low,0,1,1,3
CA-2021-776324,2019-01-17 12:13:45.697988592,2019-01-21 12:13:45.697988592,Same Day,Corporate,South,Technology,Machines,103.58,6,0.0,11.68,2019,1,1,4,0.1128,17.26,No Discount,2,1,2,1
CA-2019-944900,2019-01-17 15:44:08.934253977,2019-01-21 15:44:08.934253977,First Class,Corporate,West,Furniture,Tables,359.35,5,0.0,42.96,2019,1,1,4,0.1195,71.87,No Discount,0,1,3,0
CA-2019-893373,2019-01-17 19:14:32.170519363,2019-01-18 19:14:32.170519363,Same Day,Home Office,East,Office Supplies,Paper,181.22,1,0.2,-6.35,2019,1,1,1,-0.035,181.22,Low,1,2,1,1
CA-2022-202885,2019-01-17 22:44:55.406784749,2019-01-18 22:44:55.406784749,First Class,Home Office,West,Furniture,Furnishings,46.07,2,0.1,2.6,2019,1,1,1,0.0564,23.04,Low,0,2,3,0
CA-2022-381264,2019-01-18 02:15:18.643050135,2019-01-22 02:15:18.643050135,Same Day,Corporate,East,Technology,Accessories,384.23,2,0.3,5.24,2019,1,1,4,0.0136,192.12,Medium,2,1,1,1
CA-2022-468113,2019-01-18 05:45:41.879315520,2019-01-23 05:45:41.879315520,Standard Class,Consumer,East,Technology,Phones,832.62,7,0.1,99.81,2019,1,1,5,0.1199,118.95,Low,2,0,1,3
CA-2019-312181,2019-01-18 09:16:05.115580906,2019-01-21 09:16:05.115580906,Second Class,Consumer,East,Office Supplies,Paper,75.64,12,0.2,5.76,2019,1,1,3,0.0762,6.3,Low,1,0,1,2
CA-2020-909289,2019-01-18 12:46:28.351846292,2019-01-24 12:46:28.351846292,Standard Class,Consumer,West,Furniture,Tables,42.4,7,0.4,-0.26,2019,1,1,6,-0.0061,6.06,Medium,0,0,3,3
CA-2022-246612,2019-01-18 16:16:51.588111678,2019-01-25 16:16:51.588111678,Standard Class,Consumer,Central,Technology,Phones,303.11,6,0.0,67.16,2019,1,1,7,0.2216,50.52,No Discount,2,0,0,3
CA-2019-170017,2019-01-18 19:47:14.824377064,2019-01-22 19:47:14.824377064,First Class,Consumer,East,Office Supplies,Paper,56.62,14,0.1,3.22,2019,1,1,4,0.0569,4.04,Low,1,0,1,0
CA-2021-509129,2019-01-18 23:17:38.060642449,2019-01-24 23:17:38.060642449,Second Class,Corporate,South,Technology,Accessories,3290.15,8,0.0,770.5,2019,1,1,6,0.2342,411.27,No Discount,2,1,2,2
CA-2022-569895,2019-01-19 02:48:01.296907835,2019-01-26 02:48:01.296907835,Second Class,Consumer,East,Technology,Accessories,118.05,4,0.0,17.82,2019,1,1,7,0.151,29.51,No Discount,2,0,1,2
